 ,Area,Angle,MinThr,MaxThr,Length
1,1.384,2.526,0,255,6.767
2,0.553,0.000,0,255,2.485
3,0.712,0.000,0,255,3.380
4,1.739,35.929,0,255,8.471
5,0.870,9.689,0,255,4.135
6,1.739,-8.596,0,255,8.647
7,0.988,-1.193,0,255,4.773
8,0.514,-14.621,0,255,2.363
9,0.474,-15.255,0,255,2.267
10,1.028,-49.899,0,255,4.939
11,1.660,-38.550,0,255,8.136
12,0.791,1.548,0,255,3.680
13,0.474,5.194,0,255,2.196
14,0.514,11.768,0,255,2.437
15,0.395,10.008,0,255,1.716
16,2.056,7.263,0,255,10.222
17,3.321,1.035,0,255,16.506
18,0.870,-8.326,0,255,4.119
19,1.581,3.668,0,255,7.770
20,0.593,4.236,0,255,2.692
21,1.502,5.404,0,255,7.390
22,1.067,14.300,0,255,5.232
23,1.146,-26.114,0,255,5.647
24,0.751,-48.366,0,255,3.591
25,0.751,-57.171,0,255,3.668
26,1.463,174.447,0,255,7.192
27,1.779,176.100,0,255,8.769
28,2.767,158.814,0,255,13.754
29,2.372,-50.882,0,255,11.661
30,1.028,-37.569,0,255,4.892
31,0.672,-25.769,0,255,3.201
32,0.672,-42.510,0,255,3.237
33,0.988,-51.911,0,255,4.674
34,0.474,-41.424,0,255,2.254
35,0.633,-29.055,0,255,3.071
36,1.502,-37.333,0,255,7.377
37,0.751,-37.185,0,255,3.619
38,0.593,-52.306,0,255,2.764
39,0.791,-40.764,0,255,3.806
40,0.474,-63.435,0,255,2.223
41,0.633,-61.699,0,255,2.936
42,1.463,-56.976,0,255,7.114
43,1.700,-45.971,0,255,8.296
44,0.356,-29.745,0,255,1.603
45,0.751,-42.709,0,255,3.518
46,0.395,-45.000,0,255,1.828
47,0.672,-57.804,0,255,3.172
48,0.672,-56.310,0,255,3.226
49,0.712,-46.219,0,255,3.305
50,1.305,-55.081,0,255,6.426
51,0.593,-56.310,0,255,2.868
52,1.344,-34.418,0,255,6.508
53,1.265,-46.975,0,255,6.120
54,1.146,-54.345,0,255,5.628
55,0.712,-5.042,0,255,3.393
56,0.316,-47.726,0,255,1.478
57,0.474,-39.472,0,255,2.189
58,0.751,-63.435,0,255,3.557
59,1.502,-59.300,0,255,7.400
